resource_id,resource_name,market_clearing_price_base,price_change_multiplier
id_resource_alloy,Alloys,4000.0,2.1
id_resource_antimatter,Antimatter,1000000.0,1.0
id_resource_co2,CO2,400.0,1.8
id_resource_consumergoods,Consumer Goods,5000.0,1.0
id_resource_chips,Electronics,3250.0,1.8
id_resource_empty,Empty,0.0,1.0
id_resource_uran,Fissiles,1000.0,2.1
id_resource_fuel,Fuel,70.0,1.9
id_resource_glass,Glass,400.0,2.0
id_resource_hel3,Helium-3,10000.0,1.8
id_resource_human,Humans,200.0,2.0
id_resource_hydrogen,Hydrogen,100.0,2.0
id_resource_metal,Metals,200.0,1.8
id_resource_nitrogen,Nitrogen,100.0,2.0
id_resource_noblegas,Noble Gas,2000.0,1.95
id_resource_oxygen,Oxygen,50.0,2.0
id_resource_plastic,Polymer,1600.0,2.1
id_resource_energy,Power,11.5,2.0
id_resource_raremetal,Rare Metals,800.0,2.1
id_resource_silicon,Silicon,200.0,1.8
id_resource_steel,Steel,300.0,1.8
id_resource_supply,Supply,750.0,1.8
id_resource_volatile,Volatiles,800.0,1.8
id_resource_water,Water,50.0,1.8
