object_id,display_name,raw_name,object_type,object_type_name,parent_id,can_mine,path_id
0,Sun,Sun,3,Other,,True,5448
8,Pluto,Pluto,0,Planet,0,True,5952
10,Mercury,Mercury,0,Planet,0,True,5889
24,Venus,Venus,0,Planet,0,True,5984
56,Jupiter,Jupiter,0,Planet,0,True,5684
59,Mars,Mars,0,Planet,0,True,5743
66,Earth,Earth,0,Planet,0,True,5300
68,Neptune,Neptune,0,Planet,0,True,5397
73,Saturn,Saturn,0,Planet,0,True,6493
74,Uranus,Uranus,0,Planet,0,True,5962
75,1P Halley,1P Halley,7,Comet,,True,5648
78,4P Faye,4P Faye,7,Comet,,True,5830
79,2P Encke,2P Encke,7,Comet,,True,6425
81,Flora,Flora,2,Asteroid,,True,5933
82,Iris,Iris,2,Asteroid,,True,5611
83,Hebe,Hebe,2,Asteroid,,True,5640
84,Astraea,Astraea,2,Asteroid,,True,6501
85,Vesta,Vesta,2,Asteroid,,True,6381
86,Ceres,Ceres,2,Asteroid,,True,5346
87,Moon,Moon,1,Moon,66,True,6509
88,Low Orbit of Earth,LO,4,Orbit,66,True,5317
89,Phobos,Phobos,1,Moon,59,True,6134
90,Deimos,Deimos,1,Moon,59,True,5663
91,Io,Io,1,Moon,56,True,6001
92,Europa,Europa,1,Moon,56,True,6397
93,Ganymede,Ganymede,1,Moon,56,True,6089
94,Callisto,Callisto,1,Moon,56,True,5697
95,Amalthea,Amalthea,1,Moon,56,True,5363
97,Rhea,Rhea,1,Moon,73,True,5502
98,Titan,Titan,1,Moon,73,True,5552
99,Dione,Dione,1,Moon,73,True,6086
100,Tethys,Tethys,1,Moon,73,True,5820
101,Enceladus,Enceladus,1,Moon,73,True,5989
102,Mimas,Mimas,1,Moon,73,True,5646
103,Hyperion,Hyperion,1,Moon,73,True,5812
106,Titania,Titania,1,Moon,74,True,5975
107,Oberon,Oberon,1,Moon,74,True,6078
108,Umbriel,Umbriel,1,Moon,74,True,5899
109,Ariel,Ariel,1,Moon,74,True,6426
110,Puck,Puck,1,Moon,74,True,5918
113,Triton,Triton,1,Moon,68,True,5336
114,Proteus,Proteus,1,Moon,68,True,5464
115,Nereid,Nereid,1,Moon,68,True,6333
116,Charon,Charon,1,Moon,8,True,6164
120,Low Orbit of Moon,LOMoon,4,Orbit,87,True,6506
124,Parthenope,Parthenope,2,Asteroid,,True,5711
125,Victoria,Victoria,2,Asteroid,,True,6125
126,Egeria,Egeria,2,Asteroid,,True,6059
130,Melpomene,Melpomene,2,Asteroid,,True,5327
131,Massalia,Massalia,2,Asteroid,,True,6490
133,Themis,Themis,2,Asteroid,,True,5901
145,Atalante,Atalante,2,Asteroid,,True,5555
147,Leda,Leda,2,Asteroid,,True,5924
150,Daphne,Daphne,2,Asteroid,,True,5366
161,Kalypso,Kalypso,2,Asteroid,,True,6058
167,Elpis,Elpis,2,Asteroid,,True,6231
173,Cybele,Cybele,2,Asteroid,,True,5549
184,Freia,Freia,2,Asteroid,,True,5786
207,Hygiea,Hygiea,2,Asteroid,,True,5326
208,Metis,Metis,2,Asteroid,,True,5290
209,Psyche,Psyche,2,Asteroid,,True,5627
210,Eunomia,Eunomia,2,Asteroid,,True,6166
211,Fortuna,Fortuna,2,Asteroid,,True,5532
212,Lutetia,Lutetia,2,Asteroid,,True,5453
213,Sylvia,Sylvia,2,Asteroid,,True,5409
214,Minerva,Minerva,2,Asteroid,,True,6277
215,Hertha,Hertha,2,Asteroid,,True,5986
216,Polana,Polana,2,Asteroid,,True,6129
217,Koronis,Koronis,2,Asteroid,,True,5823
218,Kleopatra,Kleopatra,2,Asteroid,,True,5750
219,Davida,Davida,2,Asteroid,,True,6422
220,Gefion,Gefion,2,Asteroid,,True,5431
223,Juno,Juno,2,Asteroid,,True,5256
224,Low Orbit of Mars,LO,4,Orbit,59,True,5477
225,Pallas,Pallas,2,Asteroid,,True,5665
226,Kalliope,Kalliope,2,Asteroid,,True,6211
