buildable_name,category,object_type,game_key,candidate_game_keys,description,capabilities,tags,crew_required,power_value,workbook_row,base_cost_alloys,base_cost_co2,base_cost_carbon,base_cost_consumer_goods,base_cost_electronics,base_cost_exotic_alloys,base_cost_fissiles,base_cost_fuel,base_cost_glass,base_cost_helium_3,base_cost_humans,base_cost_hydrogen,base_cost_metals,base_cost_nitrogen,base_cost_noble_gas,base_cost_oxygen,base_cost_polymer,base_cost_power,base_cost_rare_metals,base_cost_silicon,base_cost_supply,base_cost_water
Alloy Smelting,Production,facility,build_alloysmelting,build_alloysmelting; build_alloysmelting_big,Produces Alloy from Metal.,{0} -> {1} per day,processing,10.0,2.5,2,,,,,,,,,,,10.0,,300.0,,,,,,,,,
Ariane,Spacecraft,spacecraft,spacecraft_nuke_large,spacecraft_nuke_large,"Most powerful nuclear thermal spacecraft, powered by a ""Nuclear Lightbulb"" engine.",,power; spaceflight,,,3,150.0,,,,40.0,50.0,100.0,,,,,,,,,,,,,,,
Asteroid Engine,Modules,module,build_asteroid_engine_module,build_asteroid_engine_module,"A mobile fusion-powered mass driver, ejecting regolith at enormous speed to push an asteroid into a desired orbit. Integrated high efficiency reactor does not require refueling.",,power,,,4,5000.0,,,,,1500.0,,,,1100.0,,,,,,,1000.0,,,,,
Athena,Spacecraft,spacecraft,spacecraft_electric_mid,spacecraft_electric_mid,"Advanced electric spacecraft, designed for slow but efficient travel.",,spaceflight,,,5,100.0,,,,40.0,1500.0,10.0,,,1100.0,,,,,,,,,,,,
Atlas,Spacecraft,spacecraft,spacecraft_asteroid_puller,spacecraft_asteroid_puller,Enormous spacecraft able to move entire asteroids.,,spaceflight,,,6,4000.0,,,,200.0,1000.0,,,,500.0,,,,,,,,,,,,
Batteries,Power,facility,build_power_battery,build_power_battery,Battery banks storing power for future use.,,power,,,7,30.0,,,,10.0,,,,,,,,,,,,,,40.0,,,
Carbon Dioxide Extractor,Mining,facility,build_co2mine,build_co2mine,Extracts CO2 from any kind of deposit on the object,,extractive,5.0,0.5,8,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Carbon Mine,Mining,facility,build_carbonmine,build_carbonmine; build_carbonmine_big,Extracts carbon from minerals and volatile carbon compounds.,"Mines {0} Carbon per day, proportional to deposit factors.",extractive,5.0,0.5,9,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Carbon Power Plant,Power,facility,build_power_carbon,build_power_carbon,Produces power by burning Carbon,,power; processing,200.0,,10,730.0,,,,,70.0,,,,,200.0,,,,,,,,,,,
City,Habitation,facility,build_habitatcity,build_habitatcity,"A sprawling network of habitats and domes, able to house large numbers of colonists, with all the needed amenities.",,habitation,,,11,500.0,,,,,,,,500.0,,,,,,,,,,,,100.0,
City Station,Habitation,facility,build_space_0gcity,build_space_0gcity,"Vast, spinning ring with room for thousands of people to live.",,,,,12,,,,,,,,,400.0,,,,1000.0,,,,,,200.0,,100.0,
CO2 Electrolysis,Production,facility,build_co2_splitting,build_co2_splitting,Splits CO2 into carbon and oxygen,,,10.0,,13,,,,,,,,,,,10.0,,50.0,,,,,,,,,
Construction Equipment,Modules,module,module_construction,module_construction,Allows construction of facilities.,,,,,14,50.0,,,,5.0,,,,,,,,,,,,,,,,,
Cronos,Launchcraft,launch_vehicle,spacecraft_nuke_nolv,spacecraft_nuke_nolv,Single-Stage-To-Orbit spacecraft powered by a closed-cycle gas core nuclear thermal rocket. A set of seven engines lets this colossus lift itself and a kiloton of payload into earth orbit and beyond.,,power; surface-to-orbit,,,15,400.0,,,,,,200.0,,,,,,,,,,400.0,,,,,
Daedalus,Spacecraft,spacecraft,spacecraft_sail_small,spacecraft_sail_small,"A simple photon kite sail. Needs no fuel, but limited in range.",,spaceflight,,,16,,,,,,,,,,,,,20.0,,,,120.0,,,,,
Dome Habitat,Habitation,facility,build_habitatdome,build_habitatdome,"Domed colonies, with significant free space and pressurized volume for comfortable habitation of communities.",,habitation,,,17,200.0,,,,,,,,100.0,,,,,,,,,,,,40.0,
Eagle,Launchcraft,launch_vehicle,,,,,surface-to-orbit,,,18,,,,,,,,,,,,,200.0,,,,,,20.0,,,
Electrolysis Plant,Production,facility,build_electrolysis,build_electrolysis; build_electrolysis_big,Produces Hydrogen and Oxygen from Water using electrolysis.,,processing,10.0,2.5,19,,,,,,,,,,,10.0,,50.0,,,,,,,,,
Electromagnetic Catapult,Launch Facilities,facility,build_launch_magnetic_catapult,build_launch_magnetic_catapult,Larger and more powerful mass driver capable of launching payloads on interplanetary trajectories by itself.,,launch; power,20.0,,20,500.0,,,,100.0,,,,,,20.0,,,,,,,,300.0,,,
Electronics Extractor,Mining,facility,build_electronicsmine,build_electronicsmine,Extracts Electronics from any kind of deposit on the object,,extractive,5.0,0.5,21,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Electronics Factory,Production,facility,build_electronicsfactory,build_electronicsfactory; build_electronicsfactory_big,Produces Electronics.,{0} -> {1} per day,processing,40.0,,22,,,,,,,,,,,40.0,,,,,,,,,,,
Exotic Alloy Extractor,Mining,facility,build_alloymine,build_alloymine,Extracts Exotic Alloys from any kind of deposit on the object,,extractive,5.0,0.5,23,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Exotic Alloy Factory,Production,facility,,,,,,20.0,,24,,,,,,,,,,,20.0,,,,,,,,,,,
Falcon,Launchcraft,launch_vehicle,,,,,surface-to-orbit,,,25,,,,,,,,,,,,,64.0,,,,,,12.0,,,
Fissiles Mine,Mining,facility,build_uranmine,build_uranmine; build_uranmine_big,Extracts fissile elements such as uranium and thorium.,"Mines {0} Fissiles per day, proportional to deposit factors.",extractive,5.0,0.5,26,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Fuel Extractor,Mining,facility,build_fuelmine,build_fuelmine,Extracts Fuel from any kind of deposit on the object,,extractive,5.0,0.5,27,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Fuel Refinery,Production,facility,build_fuel,build_fuel; build_fuel_big,Turns Water into Chemical Fuel.,{0} -> {1} per day,processing,5.0,1.0,28,,,,,,,,,,,5.0,,50.0,,,,,,10.0,,,
Fusion Reactor,Power,facility,build_power_fusion,build_power_fusion,Produces power from nuclear fusion.,,power; processing,200.0,,29,,,,,,,,,,,200.0,,,,,,,,,,,
Geothermal Power,Power,facility,build_power_geothermal,build_power_geothermal; build_power_geothermal_big,Produces power from energy extracted underground.,,power; processing,100.0,,30,400.0,,,,100.0,250.0,,,,,100.0,,,,,,,,,,,
Glass Extractor,Mining,facility,build_glassmine,build_glassmine,Extracts Glass from any kind of deposit on the object,,extractive,5.0,0.5,31,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Glass Kiln,Production,facility,build_glass,build_glass; build_glass_big,Produces Glass from Silicon.,,processing,10.0,2.0,32,300.0,,,,,,,,,,10.0,,,,,,,,,,,
Habitat,Habitation,facility,build_habitat,build_habitat,A system of structures for housing colonists.,,habitation,,,33,,,,,,,,,,,,,100.0,,,,,,,,20.0,
Helium-3 Extractor,Mining,facility,build_he3mine,build_he3mine,Processes enormous amounts of regolith to extract precious Helium-3 for use in fusion.,"Mines {0} Helium-3 per day, proportional to deposit factors.",extractive,20.0,0.5,34,,,,,,,,,,,20.0,,125.0,,,,,,,,,
Hephaistos,Spacecraft,spacecraft,spacecraft_nuke_mid,spacecraft_nuke_mid,"Nuclear thermal electric spacecraft, capable of significantly cutting down travel time between planets.",,spaceflight,,,35,100.0,,,,25.0,,50.0,,,,,,,,,,,,,,,
Hermes,Spacecraft,spacecraft,spacecraft_electric_small,spacecraft_electric_small,"Long-distance interplanetary craft, incapable of landing.",,spaceflight,,,36,100.0,,,,25.0,,10.0,,,,,,,,,,,,40.0,,,
Hydrogen Extractor,Mining,facility,build_hydrogenmine,build_hydrogenmine,Extracts Hydrogen from any kind of deposit on the object,,extractive,5.0,0.5,37,,,,,,,,,,,5.0,,125.0,,,,,,,,,
Hydrogen Power Plant,Power,facility,build_power_hydrogen,build_power_hydrogen,Produces power from burning Hydrogen,,power; processing,200.0,,38,500.0,,,,70.0,50.0,,,,,200.0,,,,,,,,,,,
Hydroponic Farm,Production,facility,build_farm,build_farm,"A closed, controlled ecosystem for growing plants and recycling atmosphere.",,,5.0,0.5,39,,,,,,,,,,,5.0,,50.0,,,,,,,,,
