asset_name,scope,source_status,category,game_id,head_name,propulsion_class,cargo_capacity_t,fuel_capacity_t,dry_mass_t,thrust,thrust_per_dry_mass,exhaust_velocity,available_delta_v,maximum_acceleration,continuous_burn_capable,min_flight_time_hoh_rel,max_flight_time_hoh_rel,continuous_burn_dv_multiplier,continuous_burn_distance_max,not_use_porkchop,solar_parameter,build_days,maintenance_per_day,reusability,fuel_to_cargo,engine_component_name,engine_component_path_id,engine_fuel_type_id,engine_fuel_type_name,engine_fuel_type_source,engine_fuel_type_confidence,capex_asset_base,capex_workbook_base,capex_delta_asset_minus_workbook,capex_per_cargo_asset,capex_per_cargo_workbook,fuel_free,solar_sc,orbit_only,build_only_low_orbit,after_build_teleport_lo,orbit_built,construction_mode,surface_capable,can_build_by_user,build_mass_asset_t,build_mass_workbook_t,effective_build_mass_t,research_id,net_base_research_days,direct_base_research_days,research_status,notes,description,capex_asset_parts,capex_workbook_parts
Iris,core_guide,asset_and_workbook,Spacecraft,spacecraft_chem_small,Spacecraft1Iris,chemical,2.0,20.0,1.0,350000.0,350000.0,20.0,100.0,100.0,False,0.07999999821186066,1.399999976158142,4.0,1.2000000476837158,False,10.0,30.0,10.0,0.0,10.0,eng_chemsmall,6775,id_resource_fuel,Fuel,Direct engine component fuelType from serialized hull reference,high,0.0,80000.0,-80000.0,0.0,40000.0,False,False,False,False,False,False,surface-built,False,True,,20.0,20.0,research_sc_iris,0.0,500.0,mapped,single-use; asset priceBase is zero,"Simple, disposable low-mass craft for delivering probes and modules to distant objects.",,alloys:20
Selene,core_guide,asset_and_workbook,Spacecraft,spacecraft_chem_mid2,Spacecraft2Orion,chemical,25.0,60.0,5.0,350000.0,70000.0,24.0,100.0,100.0,False,0.05000000074505806,1.2999999523162842,4.0,1.2000000476837158,False,10.0,50.0,10.0,1.0,2.4,eng_electric,6776,id_resource_noblegas,Noble Gas,Direct engine component fuelType from serialized hull reference,high,0.0,136250.0,-136250.0,0.0,5450.0,False,False,False,False,False,False,surface-built,False,True,,35.0,35.0,research_sc_orion,180.0,180.0,mapped,asset priceBase is zero,Light craft with an electric engine for moving probes and small cargo to distant objects.,,alloys:30; electronics:5
Stratos,core_guide,asset_and_workbook,Spacecraft,spacecraft_chem_large,Spacecraft3Helios,chemical,100.0,1000.0,80.0,1050000.0,13125.0,3.700000047683716,100.0,100.0,False,0.10000000149011612,1.399999976158142,4.0,1.2000000476837158,False,10.0,120.0,10.0,1.0,10.0,eng_chemhelios,6773,id_resource_fuel,Fuel,Direct engine component fuelType from serialized hull reference,high,18000.0,528000.0,-510000.0,180.0,5280.0,False,False,False,False,False,False,surface-built,True,True,90.0,160.0,90.0,research_sc_helios,60.0,60.0,mapped,surface-capable,"Reusable upper stage, capable of taking off from other planets.",Metals:90,alloys:120; polymer:20; rare_metals:20
Hermes,core_guide,asset_and_workbook,Spacecraft,spacecraft_electric_small,Spacecraft4Hermes,electric,80.0,100.0,60.0,160.0,2.6666666666666665,20.0,100.0,100.0,False,0.10000000149011612,1.5,4.0,1.2000000476837158,False,10.0,150.0,10.0,1.0,1.25,eng_electrichermes,6777,id_resource_noblegas,Noble Gas,Direct engine component fuelType from serialized hull reference,high,0.0,523250.0,-523250.0,0.0,6540.625,False,False,True,False,False,True,orbit-built,False,False,,175.0,175.0,research_sc_hermes,420.0,360.0,mapped,orbit-built; orbit-only; asset priceBase is zero,"Long-distance interplanetary craft, incapable of landing.",,alloys:100; electronics:25; fissiles:10; rare_metals:40
Athena,core_guide,asset_and_workbook,Spacecraft,spacecraft_electric_mid,Spacecraft7Hecate,electric,500.0,180.0,40.0,240.0,6.0,60.0,100.0,100.0,False,0.02500000037252903,0.8999999761581421,4.0,1.2000000476837158,False,10.0,150.0,10.0,1.0,0.36,eng_electricmpd,6778,id_resource_noblegas,Noble Gas,Direct engine component fuelType from serialized hull reference,high,465000.0,11990000.0,-11525000.0,930.0,23980.0,False,False,True,False,False,True,orbit-built,False,True,120.0,2750.0,120.0,research_sc_hecate,3070.0,1250.0,mapped,orbit-built; orbit-only,"Advanced electric spacecraft, designed for slow but efficient travel.",Alloys:100; Electronics:20,alloys:100; electronics:40; exotic_alloys:1500; fissiles:10; helium_3:1100
Prometheus,core_guide,asset_and_workbook,Spacecraft,spacecraft_nuke_small,Spacecraft8Prometheus,nuclear,150.0,500.0,50.0,350000.0,7000.0,8.800000190734863,100.0,100.0,False,0.03999999910593033,1.2000000476837158,4.0,1.2000000476837158,False,10.0,150.0,10.0,1.0,3.3333333333333335,eng_nukeprometheus,6788,id_resource_hydrogen,Hydrogen,Direct engine component fuelType from serialized hull reference,high,436250.0,474000.0,-37750.0,2908.3333333333335,3160.0,False,False,True,False,False,True,orbit-built,False,True,125.0,180.0,125.0,research_sc_prometheus,1670.0,900.0,mapped,orbit-built; orbit-only,"First true nuclear rocket, more than double the efficiency of chemical rockets while still maintaining high thrust.",Alloys:100; Fissiles:20; Electronics:5,alloys:100; fissiles:50; rare_metals:30
Hephaistos,core_guide,asset_and_workbook,Spacecraft,spacecraft_nuke_mid,Spacecraft9Hephaistos,nuclear,150.0,500.0,50.0,350000.0,7000.0,20.0,100.0,100.0,False,0.03999999910593033,1.100000023841858,4.0,1.2000000476837158,False,10.0,150.0,10.0,1.0,3.3333333333333335,eng_nukenter,6787,id_resource_hydrogen,Hydrogen,Direct engine component fuelType from serialized hull reference,high,102500.0,531250.0,-428750.0,683.3333333333334,3541.6666666666665,False,False,True,False,False,True,orbit-built,False,True,150.0,175.0,150.0,research_sc_hephaistos,6020.0,1700.0,mapped,orbit-built; orbit-only,"Nuclear thermal electric spacecraft, capable of significantly cutting down travel time between planets.",Steel:100; Fissiles:40; Electronics:10,alloys:100; electronics:25; fissiles:50
Ariane,core_guide,asset_and_workbook,Spacecraft,spacecraft_nuke_large,Spacecraft10Ariane,nuclear,150.0,500.0,50.0,350000.0,7000.0,20.0,100.0,100.0,True,0.03999999910593033,1.100000023841858,4.0,1.2000000476837158,False,10.0,150.0,10.0,1.0,3.3333333333333335,eng_nukeariane,6785,id_resource_hydrogen,Hydrogen,Direct engine component fuelType from serialized hull reference,high,253750.0,845000.0,-591250.0,1691.6666666666667,5633.333333333333,False,False,True,False,False,True,orbit-built,False,True,315.0,340.0,315.0,research_sc_ariane,13270.0,2300.0,mapped,continuous-burn; orbit-built; orbit-only,"Most powerful nuclear thermal spacecraft, powered by a ""Nuclear Lightbulb"" engine.",Steel:200; Fissiles:80; Electronics:35,alloys:150; electronics:40; exotic_alloys:50; fissiles:100
Cronos,core_guide,asset_and_workbook,Launchcraft,spacecraft_nuke_nolv,Spacecraft11Cronos,nuclear,1000.0,1500.0,700.0,40000000.0,57142.857142857145,35.0,100.0,100.0,False,0.03999999910593033,1.100000023841858,4.0,1.2000000476837158,False,10.0,150.0,10.0,1.0,1.5,eng_nukecronos,6786,id_resource_hydrogen,Hydrogen,Direct engine component fuelType from serialized hull reference,high,960000.0,2440000.0,-1480000.0,960.0,2440.0,False,False,False,False,False,False,surface-built,True,True,1000.0,1000.0,1000.0,research_sc_cronos,13270.0,2300.0,mapped,surface-capable,Single-Stage-To-Orbit spacecraft powered by a closed-cycle gas core nuclear thermal rocket. A set of seven engines lets this colossus lift itself and a kiloton of payload into earth orbit and beyond.,Steel:400; Polymer:400; Fissiles:200,alloys:400; fissiles:200; polymer:400
Daedalus,core_guide,asset_and_workbook,Spacecraft,spacecraft_sail_small,spacecraft_sail_small,sail,20.0,1000.0,1.0,1050000.0,1050000.0,3.700000047683716,100.0,100.0,False,0.10000000149011612,1.399999976158142,4.0,1.2000000476837158,False,10.0,120.0,10.0,1.0,50.0,eng_solar,6790,,,,,18000.0,196000.0,-178000.0,900.0,9800.0,True,True,True,False,False,True,orbit-built,False,True,90.0,140.0,90.0,research_category_sails,270.0,270.0,mapped,fuel-free; solar-limited; orbit-built; orbit-only,"A simple photon kite sail. Needs no fuel, but limited in range.",Metals:90,polymer:120; metals:20
